filename,Predicted Class,Probability,Class ID,Geographic Location,feature,Results
1001571257909869_114.jpg,Double curve,0.78117186,21,nord,Double curve,T
1001681763973366_1.jpg,Stop,0.99999785,14,centre,Stop,T
1002159363907002_253.jpg,End of no passing by vehicles over 3.5 metric tons,0.7705641,42,nord,No passing for vehicles over 3.5 metric tons,F
1002159363907002_254.jpg,End of speed limit (80km/h),0.9001389,6,nord,Speed limit (60km/h),F
1002159363907002_255.jpg,End of speed limit (80km/h),0.37522256,6,nord,No passing for vehicles over 3.5 metric tons,F
1002720910304133_350.jpg,Yield,0.99992454,13,centre,Yield,T
1003811064629232_219.jpg,No entry,0.32046655,17,centre,No entry,T
1003811064629232_220.jpg,Stop,0.5111934,14,centre,No entry,F
1004281667488181_0.jpg,Stop,0.9996401,14,nord,Stop,T
100475865796638_0.jpg,Double curve,0.483517,21,sud,Double curve,T
1005037124536030_0.jpg,Right-of-way at the next intersection,0.7594621,11,nord,Road work,F
1005408727610249_0.jpg,Roundabout mandatory,0.32017767,40,nord,Road work,F
1006442776769966_1.jpg,Keep right,0.99389863,38,sud,Keep right,T
1007279899806975_0.jpg,Stop,0.9380931,14,sud,No Passing,F
1009783829762454_0.jpg,Yield,1.0,13,centre,Yield,T
1010425609982370_0.jpg,Bicycles crossing,0.7055614,29,centre,Dangerous curve to the right,F
1010662033028138_287.jpg,Pedestrians,0.8597335,27,centre,Pedestrians,T
1012018406363529_244.jpg,Dangerous curve to the right,0.9326283,20,centre,Wild animals crossing,F
1013205023261031_392.jpg,Speed limit (50km/h),0.9390901,2,nord,Speed limit (50km/h),T
1013205023261031_393.jpg,No passing,0.99936885,9,nord,No Passing,F
1013469389524278_181.jpg,No entry,0.50636566,17,nord,No entry,T
1013469389524278_182.jpg,Yield,0.9999771,13,nord,Yield,T
1014219772317669_0.jpg,No entry,0.8726439,17,sud,No entry,T
1014685470338772_155.jpg,Wild animals crossing,0.9998883,31,centre,Wild animals crossing,T
1014685470338772_156.jpg,Dangerous curve to the left,0.48272863,19,centre,Wild animals crossing,F
1014802719286654_1.jpg,General caution,0.9634933,18,nord,General caution,T
1014802719286654_2.jpg,Stop,0.9344195,14,nord,Stop,T
1015042492360726_0.jpg,Roundabout mandatory,0.28668404,40,nord,General caution,F
1015042492360726_1.jpg,No entry,0.75155926,17,nord,No entry,T
1015059735692335_0.jpg,No vehicles,0.43676585,15,nord,Speed limit (50km/h),F
1015059735692335_1.jpg,Turn left ahead,0.80395585,34,nord,Speed limit (50km/h),F
1016233925850960_240.jpg,Ahead only,0.99996996,35,nord,Ahead only,T
1016233925850960_241.jpg,Yield,0.9999981,13,nord,Yield,T
1016233925850960_242.jpg,Go straight or left,0.41082123,37,nord,Ahead only,F
1018611535939333_171.jpg,Keep right,0.97374016,38,centre,Keep right,T
1018954332260146_0.jpg,Keep right,0.9999808,38,sud,Keep right,T
1019194542531593_84.jpg,Double curve,0.32518214,21,centre,Double curve,T
1019329332209033_0.jpg,End of no passing,0.3254995,41,centre,No passing for vehicles over 3.5 metric tons,F
1019329332209033_1.jpg,Speed limit (80km/h),0.32233968,5,centre,No passing for vehicles over 3.5 metric tons,F
1020582495652207_0.jpg,No entry,0.91424006,17,centre,No entry,T
